[25.78459017409559, 59.97726625802995, 69.09258294419276, 22.204975526284464, 27.627765518379444, 13.082125087191654, 24.79367540436126, 68.52744376575721]
[88.86296107958584, 79.18637079732977, 8.364131853502133, 17.21739811782449, 41.64409891522099, 86.0861718697649, 19.042083706014324, 80.13370056607276]
[25.78459017409559, 59.97726625802995, 69.09258294419276, 22.204975526284464, 27.627765518379444, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]
[73.53883823978077, 23.913397441385687, 61.83680266821058, 62.930308662035, 42.317541779535595, 59.98406148162106, 47.07590897054057, 19.724589301871788]

Gen 0: [10.82680097026012, 88.6580940074576, 49.90767924688162, 86.1779106885559, 96.20402933346391, 33.78353814133915, 45.180844163997335, 17.088565531674615] | Fitness: 29
Gen 1: [23.489540061093084, 9.771261809223352, 14.609115765518233, 35.82213382182533, 88.94963198731591, 33.78353814133915, 45.180844163997335, 17.088565531674615] | Fitness: 48
Gen 2: [70.59303712922738, 76.91004499220043, 14.609115765518233, 35.82213382182533, 88.94963198731591, 75.19539794541124, 40.839966583315956, 55.4418385165941] | Fitness: 44
Gen 3: [70.59303712922738, 76.91004499220043, 14.609115765518233, 35.82213382182533, 88.94963198731591, 75.19539794541124, 40.839966583315956, 55.4418385165941] | Fitness: 46
Gen 4: [70.59303712922738, 76.91004499220043, 14.609115765518233, 35.82213382182533, 88.94963198731591, 62.205410986283695, 41.71878031746953, 85.87448186082771] | Fitness: 66
Gen 5: [70.59303712922738, 76.91004499220043, 14.609115765518233, 35.82213382182533, 46.19763187555361, 75.19539794541124, 40.839966583315956, 55.4418385165941] | Fitness: 53
Gen 6: [70.59303712922738, 33.37405639876214, 23.355154133031508, 95.57656684153041, 96.20402933346391, 23.562321054858103, 98.66176000133692, 83.41675795806043] | Fitness: 66
